period,msn,seriesDescription,value,unit
2025,TETCBUS,Primary Energy Consumption Total in Trillion Btu,96221.201,Trillion Btu
2024,TETCBUS,Primary Energy Consumption Total in Trillion Btu,94555.672,Trillion Btu
2023,TETCBUS,Primary Energy Consumption Total in Trillion Btu,93718.575,Trillion Btu
2022,TETCBUS,Primary Energy Consumption Total in Trillion Btu,94944.669,Trillion Btu
2021,TETCBUS,Primary Energy Consumption Total in Trillion Btu,93363.948,Trillion Btu
2020,TETCBUS,Primary Energy Consumption Total in Trillion Btu,88870.945,Trillion Btu
2019,TETCBUS,Primary Energy Consumption Total in Trillion Btu,96595.282,Trillion Btu
2018,TETCBUS,Primary Energy Consumption Total in Trillion Btu,97396.35,Trillion Btu
2017,TETCBUS,Primary Energy Consumption Total in Trillion Btu,93886.007,Trillion Btu
2016,TETCBUS,Primary Energy Consumption Total in Trillion Btu,94082.784,Trillion Btu
2015,TETCBUS,Primary Energy Consumption Total in Trillion Btu,94477.752,Trillion Btu
2014,TETCBUS,Primary Energy Consumption Total in Trillion Btu,95331.976,Trillion Btu
2013,TETCBUS,Primary Energy Consumption Total in Trillion Btu,94253.199,Trillion Btu
2012,TETCBUS,Primary Energy Consumption Total in Trillion Btu,91677.322,Trillion Btu
2011,TETCBUS,Primary Energy Consumption Total in Trillion Btu,93966.459,Trillion Btu
2010,TETCBUS,Primary Energy Consumption Total in Trillion Btu,95141.804,Trillion Btu
2009,TETCBUS,Primary Energy Consumption Total in Trillion Btu,91626.429,Trillion Btu
2008,TETCBUS,Primary Energy Consumption Total in Trillion Btu,96646.728,Trillion Btu
2007,TETCBUS,Primary Energy Consumption Total in Trillion Btu,98965.112,Trillion Btu
2006,TETCBUS,Primary Energy Consumption Total in Trillion Btu,97234.944,Trillion Btu
2005,TETCBUS,Primary Energy Consumption Total in Trillion Btu,98100.924,Trillion Btu
2004,TETCBUS,Primary Energy Consumption Total in Trillion Btu,98033.168,Trillion Btu
2003,TETCBUS,Primary Energy Consumption Total in Trillion Btu,95806.493,Trillion Btu
2002,TETCBUS,Primary Energy Consumption Total in Trillion Btu,95575.431,Trillion Btu
2001,TETCBUS,Primary Energy Consumption Total in Trillion Btu,94415.713,Trillion Btu
2000,TETCBUS,Primary Energy Consumption Total in Trillion Btu,96693.59,Trillion Btu
1999,TETCBUS,Primary Energy Consumption Total in Trillion Btu,94231.538,Trillion Btu
1998,TETCBUS,Primary Energy Consumption Total in Trillion Btu,92601.594,Trillion Btu
1997,TETCBUS,Primary Energy Consumption Total in Trillion Btu,91956.252,Trillion Btu
1996,TETCBUS,Primary Energy Consumption Total in Trillion Btu,91403.616,Trillion Btu
1995,TETCBUS,Primary Energy Consumption Total in Trillion Btu,88667.979,Trillion Btu
1994,TETCBUS,Primary Energy Consumption Total in Trillion Btu,87052.554,Trillion Btu
1993,TETCBUS,Primary Energy Consumption Total in Trillion Btu,85191.29,Trillion Btu
1992,TETCBUS,Primary Energy Consumption Total in Trillion Btu,83836.077,Trillion Btu
1991,TETCBUS,Primary Energy Consumption Total in Trillion Btu,82213.947,Trillion Btu
1990,TETCBUS,Primary Energy Consumption Total in Trillion Btu,82255.545,Trillion Btu
1989,TETCBUS,Primary Energy Consumption Total in Trillion Btu,82711.472,Trillion Btu
1988,TETCBUS,Primary Energy Consumption Total in Trillion Btu,81025.097,Trillion Btu
1987,TETCBUS,Primary Energy Consumption Total in Trillion Btu,77160.838,Trillion Btu
1986,TETCBUS,Primary Energy Consumption Total in Trillion Btu,74458.221,Trillion Btu
1985,TETCBUS,Primary Energy Consumption Total in Trillion Btu,74268.292,Trillion Btu
1984,TETCBUS,Primary Energy Consumption Total in Trillion Btu,74236.954,Trillion Btu
1983,TETCBUS,Primary Energy Consumption Total in Trillion Btu,70488.946,Trillion Btu
1982,TETCBUS,Primary Energy Consumption Total in Trillion Btu,70812.347,Trillion Btu
1981,TETCBUS,Primary Energy Consumption Total in Trillion Btu,74159.42,Trillion Btu
1980,TETCBUS,Primary Energy Consumption Total in Trillion Btu,76038.149,Trillion Btu
1979,TETCBUS,Primary Energy Consumption Total in Trillion Btu,78819.964,Trillion Btu
1978,TETCBUS,Primary Energy Consumption Total in Trillion Btu,77916.212,Trillion Btu
1977,TETCBUS,Primary Energy Consumption Total in Trillion Btu,76324.499,Trillion Btu
1976,TETCBUS,Primary Energy Consumption Total in Trillion Btu,73916.575,Trillion Btu
1975,TETCBUS,Primary Energy Consumption Total in Trillion Btu,69788.058,Trillion Btu
1974,TETCBUS,Primary Energy Consumption Total in Trillion Btu,71773.471,Trillion Btu
1973,TETCBUS,Primary Energy Consumption Total in Trillion Btu,73716.886,Trillion Btu
1972,TETCBUS,Primary Energy Consumption Total in Trillion Btu,70727.518,Trillion Btu
1971,TETCBUS,Primary Energy Consumption Total in Trillion Btu,67351.891,Trillion Btu
1970,TETCBUS,Primary Energy Consumption Total in Trillion Btu,66035.827,Trillion Btu
1969,TETCBUS,Primary Energy Consumption Total in Trillion Btu,63808.785,Trillion Btu
1968,TETCBUS,Primary Energy Consumption Total in Trillion Btu,60820.485,Trillion Btu
1967,TETCBUS,Primary Energy Consumption Total in Trillion Btu,57313.46,Trillion Btu
1966,TETCBUS,Primary Energy Consumption Total in Trillion Btu,55561.695,Trillion Btu
1965,TETCBUS,Primary Energy Consumption Total in Trillion Btu,52564.923,Trillion Btu
1964,TETCBUS,Primary Energy Consumption Total in Trillion Btu,50482.863,Trillion Btu
1963,TETCBUS,Primary Energy Consumption Total in Trillion Btu,48392.685,Trillion Btu
1962,TETCBUS,Primary Energy Consumption Total in Trillion Btu,46545.105,Trillion Btu
1961,TETCBUS,Primary Energy Consumption Total in Trillion Btu,44564.329,Trillion Btu
1960,TETCBUS,Primary Energy Consumption Total in Trillion Btu,43942.401,Trillion Btu
1959,TETCBUS,Primary Energy Consumption Total in Trillion Btu,42356.119,Trillion Btu
1958,TETCBUS,Primary Energy Consumption Total in Trillion Btu,40507.326,Trillion Btu
1957,TETCBUS,Primary Energy Consumption Total in Trillion Btu,40693.313,Trillion Btu
1956,TETCBUS,Primary Energy Consumption Total in Trillion Btu,40714.353,Trillion Btu
1955,TETCBUS,Primary Energy Consumption Total in Trillion Btu,39215.038,Trillion Btu
1954,TETCBUS,Primary Energy Consumption Total in Trillion Btu,35634.683,Trillion Btu
1953,TETCBUS,Primary Energy Consumption Total in Trillion Btu,36601.753,Trillion Btu
1952,TETCBUS,Primary Energy Consumption Total in Trillion Btu,35634.55,Trillion Btu
1951,TETCBUS,Primary Energy Consumption Total in Trillion Btu,35885.997,Trillion Btu
1950,TETCBUS,Primary Energy Consumption Total in Trillion Btu,33527.374,Trillion Btu
1949,TETCBUS,Primary Energy Consumption Total in Trillion Btu,30866.419,Trillion Btu
